"","x"
"TCGA-BH-A0DE-01",2
"TCGA-BH-A0DO-01",1
"TCGA-BH-A0DT-01",1
"TCGA-BH-A0DX-01",1
"TCGA-BH-A0E9-01",1
"TCGA-BH-A0EI-01",1
"TCGA-BH-A0H5-01",1
"TCGA-BH-A0W7-01",1
"TCGA-BH-A18H-01",1
"TCGA-BH-A18I-01",1
"TCGA-C8-A12N-01",1
"TCGA-C8-A12Y-01",1
"TCGA-C8-A132-01",1
"TCGA-C8-A133-01",1
"TCGA-D8-A141-01",1
"TCGA-E2-A14Q-01",1
"TCGA-E2-A14Z-01",1
"TCGA-E2-A153-01",1
"TCGA-E2-A154-01",1
"TCGA-E2-A156-01",1
"TCGA-E2-A15C-01",1
"TCGA-E2-A15G-01",1
"TCGA-E2-A15H-01",1
"TCGA-E2-A15O-01",2
"TCGA-E2-A15P-01",1
"TCGA-E2-A15R-01",2
"TCGA-AO-A03O-01",1
"TCGA-BH-A18J-01",1
"TCGA-BH-A18L-01",2
"TCGA-A8-A06X-01",2
"TCGA-B6-A0IC-01",1
"TCGA-BH-A18U-01",2
"TCGA-AR-A0TY-01",2
"TCGA-B6-A0IB-01",1
"TCGA-AO-A0J7-01",1
"TCGA-AO-A0J3-01",2
"TCGA-D8-A13Y-01",1
"TCGA-BH-A0HU-01",1
"TCGA-A7-A0CJ-01",2
"TCGA-BH-A0BD-01",1
"TCGA-A2-A0T3-01",1
"TCGA-A2-A0EY-01",1
"TCGA-A2-A0D4-01",2
"TCGA-BH-A0AY-01",1
"TCGA-E2-A10A-01",1
"TCGA-BH-A0HW-01",1
"TCGA-A2-A0CW-01",1
"TCGA-A2-A0ER-01",1
"TCGA-B6-A0IM-01",1
"TCGA-AO-A03P-01",1
"TCGA-A8-A06N-01",1
"TCGA-A8-A06O-01",1
"TCGA-A8-A06Q-01",1
"TCGA-A8-A06R-01",1
"TCGA-A8-A06Z-01",2
"TCGA-A8-A079-01",2
"TCGA-A8-A07L-01",1
"TCGA-A8-A07S-01",1
"TCGA-A8-A07W-01",2
"TCGA-A8-A07Z-01",1
"TCGA-A8-A082-01",1
"TCGA-A8-A084-01",2
"TCGA-A8-A08F-01",1
"TCGA-A8-A08G-01",1
"TCGA-A8-A08I-01",1
"TCGA-A8-A08P-01",2
"TCGA-A8-A095-01",1
"TCGA-A8-A096-01",1
"TCGA-A8-A097-01",1
"TCGA-A8-A09C-01",1
"TCGA-A8-A09D-01",1
"TCGA-A8-A09I-01",2
"TCGA-A8-A09M-01",1
"TCGA-A8-A09N-01",1
"TCGA-A8-A09Q-01",2
"TCGA-A8-A09R-01",1
"TCGA-A8-A09W-01",1
"TCGA-A8-A09Z-01",2
"TCGA-A8-A0A9-01",2
"TCGA-A8-A0AB-01",1
"TCGA-AN-A03Y-01",2
"TCGA-AN-A041-01",1
"TCGA-AN-A049-01",2
"TCGA-AN-A0AJ-01",2
"TCGA-AN-A0AK-01",2
"TCGA-AN-A0AM-01",1
"TCGA-AN-A0AS-01",1
"TCGA-AN-A0FF-01",1
"TCGA-AN-A0FK-01",1
"TCGA-AN-A0FY-01",1
"TCGA-BH-A0C7-01",2
"TCGA-BH-A18F-01",1
"TCGA-C8-A12M-01",2
"TCGA-C8-A12U-01",1
"TCGA-C8-A12W-01",2
"TCGA-C8-A12X-01",1
"TCGA-E2-A14O-01",2
"TCGA-E2-A14S-01",1
"TCGA-E2-A14W-01",1
"TCGA-E2-A155-01",2
"TCGA-E2-A15L-01",1
"TCGA-E2-A15M-01",1
"TCGA-B6-A0IE-01",1
"TCGA-AO-A03R-01",1
"TCGA-AO-A03T-01",1
"TCGA-AO-A0J5-01",2
"TCGA-A8-A08S-01",2
"TCGA-A8-A09E-01",2
"TCGA-D8-A146-01",1
