GeneCluster	X1	X2	X3	P.value	Q.value
hsa.miR.99b	3	14.3619188529767	13.663830649589	14.515397925	2.88147535068171e-05	0.000188004457306774
hsa.miR.107	1	11.1644026399535	10.6552525220548	11.1548049125	3.14952145593134e-05	0.000202178957977528
hsa.miR.450a	3	1.5443524804186	0.726915051917808	1.8439700775	3.26888846682509e-05	0.000206510731713712
hsa.miR.423.5p	3	5.00265972916279	4.06432235328767	5.4240165175	3.6410051459627e-05	0.000226425007514555
hsa.miR.93	3	11.9558240355814	10.7382835427397	12.9697138033333	4.65347077341365e-05	0.000284935595049021
hsa.miR.148b.	3	1.03328961009302	-0.147293776849315	1.96735579833333	4.80006144250524e-05	0.000289458250623801
hsa.miR.30a.	2	11.9537112805116	13.0601830120548	12.0431353508333	5.09404375147721e-05	0.000302601404938497
hsa.miR.584	3	4.47366525627907	4.63971091821918	6.50032096833333	5.57868921983101e-05	0.000326517398454815
hsa.miR.340.	3	2.46132338511628	1.19195034328767	3.63127010333333	5.72907417584082e-05	0.00033045964086734
hsa.miR.24.1.	3	2.09478189790698	0.923044739452055	3.02265032333333	6.13569144653558e-05	0.000348857885103023
hsa.miR.362.5p	3	2.35289379204651	0.964210429589041	3.4855296475	6.28028860676032e-05	0.000352049981055015
hsa.miR.214.	1	4.0808660435814	3.22002602205479	3.9372588975	6.79332622992116e-05	0.000375519977709531
hsa.miR.26b.	1	3.73302290474419	3.20645577452055	3.67854829583333	7.78348480422105e-05	0.000424359856449312
hsa.miR.431.	1	1.55804497883721	1.09028362054795	0.9667701925	8.99287398323784e-05	0.000483670789909278
hsa.miR.328	3	4.8007148927907	3.97177184630137	5.08375640166667	9.22636620719206e-05	0.000489612500061659
hsa.miR.30c.2.	2	4.87451878427907	5.70404102369863	5.34808951916667	9.47077964562048e-05	0.000495969776178546
hsa.miR.141	3	9.78774235855814	8.10586394205479	11.1030991325	9.65470525395805e-05	0.000499035414425364
hsa.miR.365	3	4.42542027465116	3.68862329369863	4.76547444166667	0.000128329539785617	0.000654809703008662
hsa.miR.345	3	4.05839307027907	2.45801244178082	5.51740360083333	0.000131143990327099	0.000660700103166903
hsa.miR.1296	3	1.94544062874419	0.876820192465753	2.75033899583333	0.000134774321539704	0.000670502249660026
hsa.miR.3615	3	1.21676979474419	0.413903345342466	1.49796982	0.000165417312825791	0.000812791240798331
hsa.miR.655	1	0.859181862186047	0.349061723424658	0.507622275833333	0.000166144536421625	0.000806408847509839
hsa.miR.1270	3	1.1106595824186	-0.0422208716438356	1.71081567666667	0.000171778572084871	0.000823709297467214
hsa.miR.708.	1	4.93529051888372	4.47021153671233	4.52675240333333	0.000171950308717497	0.000814716938923381
hsa.miR.199a.5p	1	8.46353972823256	7.87089005479452	7.8705096	0.00018261738128765	0.000855079032382174
hsa.let.7f.1.	3	3.02938616265116	2.36164633410959	3.31452665166667	0.000200640014997763	0.000928543325222207
hsa.miR.487b	1	0.866248667627907	0.424461684109589	0.723035818333333	0.000213071132260054	0.000974739202752891
hsa.miR.7.1.	3	4.88389574525581	3.74686180561644	5.37472272916667	0.000218273808105463	0.000987192904840615
hsa.miR.136	1	3.32334962004651	2.86162361054795	2.8271434925	0.000226826385354008	0.00101434720641455
hsa.miR.1180	3	3.05252065851163	2.12920547068493	3.30838892166667	0.000232383155474611	0.00102764995420995
hsa.miR.190b	1	3.75269007488372	3.37377414630137	1.296716695	0.00023695443971474	0.00103635018688425
hsa.let.7b.	1	5.95887715762791	5.44966420657534	5.62469461666667	0.00023874790430347	0.00103284419470414
hsa.miR.3609	3	-0.0752271528372093	-1.06458986219178	0.208875400833333	0.000244665808204474	0.00104706442650947
hsa.miR.31.	3	0.814742746837209	-0.167744449863014	1.21015998916667	0.000247440512826544	0.00104767366069111
hsa.miR.151.5p	3	4.76411576386046	3.58225467260274	5.80748678166667	0.000270597082395332	0.00113365935571939
hsa.miR.191.	3	1.35141244372093	0.481381297123288	1.62292534416667	0.000280234646418465	0.00116180613827655
hsa.let.7e	3	9.28413490353488	8.6566039230137	9.5208153075	0.000288975472853996	0.00118569317727722
hsa.miR.130a	3	5.14414167339535	4.15514950369863	5.4826716075	0.000290293205540143	0.00117894587556099
hsa.miR.95	3	1.93199355418605	1.16046873890411	2.13743678166667	0.000297900607822748	0.00119762062538842
hsa.miR.590.5p	3	3.98220903106977	2.59182825712329	5.54131431666667	0.000364394657642212	0.001450290737416
hsa.miR.221	3	5.22019782586047	4.41870298808219	5.38846133333333	0.000365122245856349	0.00143879855297848
hsa.miR.31	3	1.21026273706977	0.281109805890411	1.29234441	0.000384579240372166	0.00150061311439335
hsa.let.7i.	3	4.87293145851163	4.01645791136986	5.40618272333333	0.000398624259322637	0.00154031509913019
hsa.miR.628.5p	3	4.61355181530233	3.80767167054795	5.17700617166667	0.000399717843687302	0.00152968944026487
hsa.miR.592	1	1.87668194027907	1.02080474273973	1.82825932916667	0.000439883578159905	0.00166736822959659
hsa.miR.17	3	8.43243109032558	6.68854814150685	10.2745006308333	0.000453330003203847	0.00170212586108614
hsa.miR.153	1	0.431486773488372	-0.127867645890411	0.257622275833333	0.000453491288742185	0.00168681806466719
hsa.miR.625	1	1.20104896186047	0.84012562109589	0.6933571675	0.000507486912384937	0.00187018325119634
hsa.miR.500b	3	1.43588482116279	0.133805993013699	2.83717932666667	0.000627458675327628	0.00229108764018712
hsa.let.7b	2	13.7051917104186	14.5007006635616	13.5510258075	0.000627596385134541	0.00227075782985043
hsa.miR.101.	1	2.22647489525581	1.70086747493151	2.0606682075	0.000656735483282616	0.00235478128240073
hsa.miR.205	1	8.63464567576744	7.56499323246575	7.67320925	0.000701658391713341	0.00249339321340991
hsa.miR.500a	3	1.43588482116279	0.147504623150685	2.83717932666667	0.000749456802080991	0.00263967970998438
hsa.miR.30a	2	14.8508793519535	15.7889596039726	14.7140598483333	0.000812806519490234	0.00283769293646591
hsa.miR.3150b.3p	3	1.03304568897674	0.116158302191781	1.235342645	0.000848775935147362	0.00293750280164043
hsa.miR.1307	3	8.29809237702326	7.26341424726027	9.32067148583333	0.000854017536997014	0.00293016361831734
hsa.miR.497	1	4.54936962232558	4.11137144780822	4.17416889166667	0.000995545747865433	0.00338655733034566
hsa.miR.629.	3	2.43751566190698	1.46475297671233	2.9312174175	0.00104661917931227	0.00353012231666341
hsa.miR.1251	3	-0.131475948790698	-1.03111579849315	0.0690360758333333	0.00105230286296824	0.00351946671816268
hsa.miR.21	1	17.2341433958605	16.9766983290411	16.7837553791667	0.00105332095076149	0.00349351448669229
hsa.miR.218	3	3.8508865932093	3.30677511630137	3.92454291	0.00112826785508125	0.00371116203572179
hsa.miR.23a.	3	1.01700259632558	0.297113613424658	1.30447581083333	0.00118348544388336	0.00386087874316048
hsa.miR.34c.5p	1	2.68909515697674	2.15192831027397	1.8179909375	0.00118683926520336	0.00384034168740598
hsa.miR.3170	3	1.47038943609302	0.367896965616438	2.3395684375	0.00122268797024876	0.00392443396902426
hsa.miR.3928	3	1.03310057744186	0.112139042191781	1.75356266916667	0.00126447589190768	0.00402609123983406
hsa.miR.503	3	3.78383482981395	2.43298204013699	4.83344081166667	0.00135081091996649	0.00426684719164017
hsa.miR.374c	3	0.545729689674419	0.954605905753425	1.65142831666667	0.0013855929683495	0.00434225197955197
hsa.miR.222	3	3.97574241074419	3.27010143369863	4.1821442025	0.00141930623589832	0.00441315532724633
hsa.miR.19b	3	6.32385785060465	4.78747098547945	8.11610832166667	0.00158163824396926	0.00487978310930052
hsa.miR.505.	3	2.72532056948837	1.29619550972603	4.34376092583333	0.00169977737418606	0.00520393380712347
hsa.miR.16.2.	3	2.35642778502326	1.29122379328767	3.44601716083333	0.00176803317512244	0.00537158170762389
hsa.miR.148a.	3	3.61256649381395	3.84989439273973	4.84272087666667	0.00177200565353172	0.00534286553110323
hsa.let.7e.	3	3.62972102786047	3.00983158767123	3.92978031	0.00180238286614678	0.00539359684756705
hsa.miR.22	1	15.5748095475349	15.2970042490411	15.3819262908333	0.00181808021699838	0.00539996959974144
hsa.miR.505	3	3.39089728627907	1.83623612424658	5.29588135833333	0.00182721527731694	0.00538690133608994
hsa.miR.193a.3p	3	2.76549335181395	1.94558315684932	3.388935865	0.00190091441447365	0.00556297012470965
hsa.let.7d	3	7.20778134883721	6.16655640657534	8.38090512916667	0.00197864299571908	0.00574817454230798
hsa.miR.125b.2.	3	1.89938945916279	2.25163127479452	2.46708287166667	0.00201541219194033	0.00581256559704531
hsa.miR.200c.	3	5.01200927516279	4.04368495123288	5.6816856075	0.00205980667142102	0.00589786370665874
hsa.miR.576.5p	3	2.69358278572093	1.49699023972603	4.103765475	0.00208255193253468	0.00592039763677716
hsa.miR.98	3	4.92877268525581	4.04209384753425	5.76594649916667	0.00209534224044894	0.00591451213970695
hsa.miR.1224.5p	3	0.133202671860465	-0.717617870821918	0.556369150833333	0.00233604633827864	0.00654751015940071
hsa.miR.651	3	1.36690165074419	0.518877579589041	2.03990468916667	0.00237258142418388	0.00660340843933696
hsa.miR.222.	3	0.965653957534884	0.275299000684932	1.40260399416667	0.00243883418198435	0.00674066669742897
hsa.miR.126	3	11.4436956491628	10.76330813	11.8748197433333	0.00244465594926849	0.00671015908833697
hsa.miR.652	3	4.44474410455814	3.73757200082192	4.769881175	0.00246561860648001	0.00672134387245921
hsa.miR.339.3p	3	1.97417818413953	1.36454950068493	2.42721624166667	0.00272180265859762	0.0073692344089922
hsa.miR.3130.5p	3	1.13965646539535	1.48057347972603	2.31038133916667	0.00272971904216452	0.00734073093771269
hsa.miR.30b	3	8.62008344506977	7.6968164939726	9.36512770166667	0.002883874152639	0.00770323431376056
hsa.miR.493	1	1.42689253148837	0.983732040684931	1.35105642	0.00298105990396744	0.00790974561186028
hsa.miR.154	3	1.91981432051163	1.37281774808219	1.98561557333333	0.00298233631402441	0.00786072750319016
hsa.miR.16.1.	3	1.6130068255814	0.888037504931507	2.11902424333333	0.00306064366426498	0.00801405380511489
hsa.miR.195.	1	1.46623187860465	1.00605970150685	1.3439700775	0.00313127307636154	0.00814540316596008
hsa.miR.660	3	4.047123352	3.27083587726027	4.7951516925	0.00340922241709274	0.00881084754547345
hsa.miR.2115.	3	-0.0341209509767442	-0.727528994931507	0.0202892008333333	0.00343475093941099	0.00881955402506822
hsa.miR.214	3	1.57055955390698	0.955232255479452	1.75874340333333	0.00348441935880577	0.00888973656926087
hsa.miR.200a	3	7.46771131972093	6.01488163027397	9.01054851083333	0.00366441702130122	0.00928941385017762
hsa.miR.589.	3	1.4946687284186	0.297143242739726	2.92470637166667	0.00367879194525565	0.00926683034311233
hsa.miR.3647.3p	3	1.61457276311628	0.798276643972603	2.35037137833333	0.00396680512490036	0.00992948704220342
hsa.miR.3613.5p	3	3.11503256539535	2.22290976821918	4.04515528166667	0.00398950282440726	0.00992388827571307
hsa.miR.200c	3	12.6485392864651	11.7600063605479	13.4202907933333	0.00407228479932565	0.0100668903734883
hsa.miR.92b	1	5.98067368460465	5.44118457383562	5.84921225583333	0.0041343296432524	0.0101571802346571
hsa.miR.3127.5p	3	2.42176657111628	1.68346273260274	2.88007014	0.00422758966786057	0.0103225809068007
hsa.miR.3200.3p	3	1.77281604953488	0.139364193424658	3.70855227	0.00464293826732209	0.0112676184780134
hsa.miR.485.3p	1	1.58243446706977	1.05467165027397	1.53842205583333	0.00465010697165083	0.0112166216649517
hsa.miR.33b	3	1.69117377795349	0.728021156164384	2.19954788916667	0.00482635456994166	0.0115716211978119
hsa.miR.338.3p	1	6.87425913767442	6.24110081013699	6.69474979833333	0.00494589305953736	0.0117872181897956
hsa.miR.130b	3	3.44873107581395	2.1546258190411	5.04810433166667	0.00515402517221249	0.0122101310627415
hsa.miR.491.5p	3	1.32093971037209	0.479703479041096	2.1639131025	0.00523472153550403	0.0123279240895302
hsa.miR.409.3p	3	2.86648569427907	2.37145035438356	2.90698765	0.00573017198783879	0.013415343830352
hsa.let.7f.2.	3	0.80614574255814	-0.0821726609589041	1.69671464416667	0.00591450134128655	0.0137659154025266
hsa.miR.539	1	2.65500807967442	2.34059688972603	2.23930281583333	0.00601599082091321	0.0139207229460666
hsa.miR.142.3p	3	10.1452940945116	9.29655014835616	10.5796410591667	0.00665896671222285	0.015319472551819
hsa.miR.369.3p	1	1.689903846	1.32468445013699	1.45756766916667	0.00666233338856469	0.015239130394533
hsa.miR.320a	3	7.94631062539535	7.38103015657534	8.14945570916667	0.00712697118761048	0.0162087687581084
hsa.miR.193b.	3	2.49671065088372	1.90497092547945	2.74849577583333	0.00716697315574818	0.0162071324772033
hsa.miR.20a	3	7.3595873244186	6.02511452493151	8.94259484416667	0.00762831014330709	0.017152923373086
hsa.miR.885.5p	3	0.211894246976744	-0.847274459589041	0.920229335833333	0.00773050354948502	0.0172850584982867
hsa.miR.146a	3	6.2975932444186	5.22493554547945	7.37812649333333	0.00902144619770723	0.020058858026187
hsa.miR.1266	3	2.9710651072093	2.30068172643836	3.3382130725	0.00905033851031297	0.0200113040394698
hsa.miR.449a	1	0.83633070627907	0.232915247534247	-0.291124599166667	0.00943790857800834	0.0207529702433554
hsa.miR.223	3	5.48879544623256	4.45984212136986	6.4418409	0.0094708845450217	0.0207110552138387
hsa.miR.3677.3p	3	2.47030707925581	1.35644878945205	3.2680373175	0.00948475146677778	0.020628038709167
hsa.miR.937	3	0.873374300976744	-0.070995408630137	1.77754841666667	0.0101721434714159	0.0220027885957799
hsa.miR.15b	3	6.71736961790698	5.48197347643836	8.26583835083333	0.0102074247974465	0.0219597571318038
hsa.miR.376c	3	1.3596786007907	0.863827257945206	1.44975846666667	0.0104121920453378	0.0222798517959379
hsa.miR.429	3	6.6509719435814	5.19328229972603	8.44405802583333	0.0105814637514867	0.0225209763266935
hsa.miR.143	2	13.8427301677674	14.3719849250685	13.8571805983333	0.0109708500348718	0.0232255229461647
hsa.miR.192	3	7.84755561251163	7.01142283561644	8.51124896166667	0.0111787071173325	0.0235403462047531
hsa.miR.18a	3	2.40700151530233	0.576881313424658	4.98787166416667	0.0119969181306825	0.0251303864000613
hsa.miR.2355.5p	3	4.635360282	4.02091642739726	5.1077495525	0.0124108880915333	0.0258614317300013
hsa.miR.296.5p	1	1.14901761744186	0.546290361232877	1.12334644583333	0.0127380989949975	0.0264050177083803
hsa.miR.183	3	12.5049190430698	11.7529511953425	12.9822835958333	0.0130568442308062	0.0269255129733725
hsa.miR.511	3	1.32153419567442	0.673419145068493	1.76988935333333	0.013107632251822	0.0268909156506452
hsa.miR.598	1	2.9561794764186	2.41435114547945	2.76843873583333	0.0137107251792387	0.0279839416478821
hsa.miR.29c	2	9.2985675692093	9.31875909972603	8.02096778583333	0.0138248766729601	0.028072963856317
hsa.miR.187	3	3.32692404902326	1.4345247460274	5.22350860166667	0.0141714835557953	0.0286307129705915
hsa.miR.146b.3p	3	5.17865768288372	4.50002549191781	5.665392525	0.0143981558790736	0.0289417476761176
hsa.miR.508.3p	1	1.72922810590698	1.26551184383562	1.27818399166667	0.0146697229237354	0.0293394458474708
hsa.miR.99a.	3	1.04236113265116	0.462203014109589	1.41612997833333	0.0154918954745593	0.0308288719943731
hsa.miR.96	3	4.01097328972093	3.25269500630137	4.53158817583333	0.0156734911483628	0.0310350720251164
hsa.miR.199a.3p	1	9.90337371469767	9.63926310136986	9.53883180333333	0.0168301950726858	0.0331604833610345
hsa.miR.199b.3p	1	10.4865177575349	10.2228989916438	10.1275778108333	0.0173769596324985	0.0340691129740611
hsa.miR.501.3p	3	5.02223948209302	3.96396672410959	6.38596307166667	0.017451446829653	0.034047430579421
hsa.miR.206	3	-0.343060606046512	-0.760722240410959	2.7524248325	0.0185135017136715	0.0359432862538598
hsa.miR.323.3p	1	1.26783701367442	0.871163096712329	1.21527670166667	0.0188446680416755	0.0364086304882857
hsa.miR.34c.3p	1	0.867374789674419	0.596969791643836	0.3946102925	0.0189888553991777	0.03650997318296
hsa.miR.424.	3	1.04640171339535	0.441097463424658	1.54993849583333	0.0190898655690287	0.0365277235407376
